Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
149.05,475.4342851,-0.16526
149.241,95.77867117,-0.1639
149.31,471.1839685,-0.17646
149.916,113.7433624,-0.17372
150.014,160.4714809,-0.17848
150.219,65.97413487,-0.19878
150.428,124.3473677,-0.20438
150.64,227.8094283,-0.192
150.855,325.9228312,-0.18454
151.073,83.95896733,-0.18448
151.295,40.77640271,-0.18108
151.591,278.0210545,-0.17866
151.82,58.82824044,-0.18254
152.052,332.2677246,-0.1874
152.288,75.45546606,-0.169
152.528,52.3942019,-0.1767
152.792,323.1605078,-0.17022
155.36,11.14048758,-0.17508
155.644,1.68958217,-0.18606
155.933,19.25627078,-0.20788
156.226,8.670198609,-0.19422
156.523,17.36001736,-0.19802
156.825,9.823511563,-0.17942
156.977,80.92577075,-0.16154
157.266,19.24221088,-0.14746
157.578,17.7920092,-0.14804
157.895,18.74756956,-0.14208
158.338,33.01045153,-0.14816
158.665,40.41964862,-0.1336
158.851,28.70152674,-0.13986
159.186,37.36619995,-0.1471
160.041,21.36140689,-0.1509
160.354,22.38577589,-0.1582
160.674,79.41402472,-0.17916
161.013,827.9351936,-0.17754
161.243,55.13400012,-0.17472
161.583,28.81966265,-0.17512
162.096,50.56762452,-0.16786
162.454,55.8909464,-0.16558
162.818,24.23900547,-0.17514
163.189,74.05363402,-0.17582
163.566,36.74467087,-0.17374
164.1,81.75854609,-0.17274
164.492,65.65302002,-0.16716
164.889,21.55169352,-0.1691
165.291,5.538272323,-0.15336
165.588,500.333488,-0.14056
165.923,10.011349,-0.12904
166.339,10.03603918,-0.12062
167.183,5.857113719,-0.08688
167.612,4.048835738,-0.10262
168.082,16.04030913,-0.10858
168.11,13.52521097,-0.1176
168.548,12.55643224,-0.12362
168.986,14.30472629,-0.1381
169.431,11.69222055,-0.12964
169.879,9.213777213,-0.12864
170.33,12.00419328,-0.1156
170.785,12.05760683,-0.1155
171.235,1.043884643,-0.1046
171.649,11.83147633,-0.09434
172.111,0.687178214,-0.08658
172.575,4.871311409,-0.0906
173.041,4.585889217,-0.08414
173.505,6.030621742,-0.02932
173.975,5.581850619,-0.0385
174.462,7.216762372,0.01372
174.904,9.968534784,0.05302
175.377,9.785415972,0.0503
175.851,17.33684766,0.0396
176.326,9.295736655,0.10966
176.801,6.079603493,0.10298
177.273,8.708753156,0.08324
177.748,7.465157131,0.14124
177.927,12.09913214,0.1593
177.991,3.337960477,0.1459
178.476,3.285060203,0.12698
178.87,7.552172915,0.1506
179.646,12.3353676,0.12086
180.095,86.94878072,0.08084
180.607,11.72932827,0.07398
181.121,4.941287892,0.0893
181.633,15.63834808,0.0912
181.725,16.0433086,0.10534
182.235,16.86669596,0.11256
182.804,3.977254742,0.12454
183.148,7.409008078,0.12438
183.556,7.1080109,0.15464
184.056,3.177598054,0.1456
184.549,7.960683322,0.1374
185.042,2.337561645,0.08146
185.528,3.477214558,0.08682
185.922,5.002910672,0.06638
186.141,247.1105705,0.05332
186.194,6.880668273,0.06608
186.593,7.992301977,0.05868
187.013,6.036319654,0.0404
187.429,13.28984952,0.01698
187.499,5.64205673,-0.00302
187.911,6.867685703,-0.04846
188.294,9.84290364,-0.04044
188.698,10.43719235,-0.06792
189.097,4.881726532,-0.10298
189.494,3.609671666,-0.10706
189.884,30.97802111,-0.1118
190.268,5.713773675,-0.1276
190.48,8.440057129,-0.14532
190.856,16.45850791,-0.15786
191.343,23.41797496,-0.16866
191.456,34.32077701,-0.1721
191.818,70.04107051,-0.17044
192.179,23.38110528,-0.17088
192.531,10.91763076,-0.14828
192.88,12.33231399,-0.14626
193.227,26.30080501,-0.14906
193.259,16.33970848,-0.1476
193.539,48.2408517,-0.13978
193.87,27.32107262,-0.14922
194.198,46.23599326,-0.13614
194.522,25.29720148,-0.08912
194.843,9.267176586,-0.0784
195.158,11.47404111,-0.07264
195.472,22.39788383,-0.07076
195.774,11.9438781,-0.07104
196.092,11.24535812,-0.10136
196.214,13.51778256,-0.06842
196.519,5.752636863,-0.01138
196.822,10.99827879,0.0174
197.122,29.38693922,0.01884
197.418,20.23138426,0.05506
197.715,7.914371258,0.06894
198.009,15.29698846,0.05074
198.303,4.219535586,0.07336
198.583,18.90064483,0.13432
198.883,3.804335263,0.15242
198.984,105.7736348,0.1663
200.909,8.783772184,0.17046
201.227,11.00679855,0.16626
201.554,25.33167649,0.16562
201.849,9.101669424,0.14868
202.168,8.397956696,0.12098
202.486,2.542188755,0.11398
202.806,11.17841358,0.10474
203.126,19.82768862,0.082
203.309,7.059035663,0.07372
203.956,11.83315144,0.08192
204.283,8.246484894,0.08846
204.374,30.88053112,0.03922
204.405,8.913250127,0.001
204.729,36.86813934,0.00514
205.055,13.95318336,-0.04422
205.385,8.903512834,-0.09466
205.717,10.93011759,-0.09352
206.054,12.91503533,-0.06896
206.391,24.17934673,-0.10604
206.711,5.575064149,-0.10414
207.058,6.083591962,-0.10202
207.407,12.28882766,-0.09626
207.567,8.302969386,-0.1241
207.902,6.197503686,-0.13558
208.26,4.849085458,-0.14362
208.603,7.874884083,-0.15202
208.971,17.22454036,-0.16164
209.344,13.10064508,-0.17264
209.724,27.53419209,-0.15744
210.108,21.49208507,-0.15698
210.432,227.8597317,-0.161
210.456,17.6403399,-0.16282
210.869,67.82173021,-0.16396
211.286,63.69211169,-0.18
211.712,41.42178624,-0.18282
212.143,37.7897864,-0.17804
212.58,36.03648463,-0.17824
213.028,45.09531853,-0.17574
213.481,39.95750653,-0.17248
213.944,22.89597709,-0.1665
214.413,24.92333384,-0.16634
215.056,9.558073956,-0.17162
215.544,10.47449923,-0.1743
216.551,0.656993496,-0.17916
217.067,8.126439441,-0.16596
217.595,33.00034884,-0.16508
218.191,170.0567919,-0.1597
218.223,14.43953904,-0.16202
218.73,17.2285063,-0.16052
219.234,28.04128697,-0.17678
220.277,15.78905757,-0.17576
220.603,10.96637389,-0.17176
221.083,4.86568345,-0.16554
221.593,7.708395833,-0.16228
222.092,4.978469307,-0.16262
222.587,10.26562125,-0.16788
223.079,16.24573614,-0.16934
223.519,66.90694092,-0.17314
223.603,24.28680893,-0.17862
224.055,29.11074752,-0.1777
224.533,66.18286578,-0.1727
225.011,12.63997325,-0.172
225.48,23.23868537,-0.17
225.894,22.85617761,-0.1647
226.408,19.52012586,-0.14984
226.701,9.484987929,-0.15196
227.096,99.22561002,-0.14236
230.768,14.51435487,-0.13476
231.259,1.390617711,-0.13202
231.777,6.35503501,-0.04766
232.301,2.597422862,0.11526
232.833,0.612982269,0.15032
233.343,0.86027374,0.15804
233.876,1.112714588,0.16652
236.284,92.70079642,0.18668
236.359,1.642465333,0.0302
236.93,11.20058922,-0.014
237.556,4.095044341,-0.02752
238.191,3.26769916,-0.00384
238.84,4.326989931,-0.11876
239.509,3.310806747,-0.1198
240.275,4.469305459,-0.0308
240.953,0.560773744,-0.03072
241.668,1.834681112,-0.05474
242.405,13.82872794,-0.0082
243.156,1.299037671,-0.01076
243.926,2.290698747,-0.00788
245.23,2.179761793,0.0753
246.054,4.714454412,0.07958
246.797,0.146298747,0.1074
247.643,6.013074308,0.16862
248.529,2.284753384,0.10244
249.146,127.011423,0.12722
249.197,1.0260602,0.2269
249.987,1.301952739,0.25218
250.776,3.514933497,0.29668
251.581,3.520698186,0.31494
252.405,1.43706953,0.27914
253.246,2.515950099,0.25994
254.114,1.897156878,0.25798
254.823,0.644528081,0.25412
255.717,0.60085646,0.27508
256.632,0.931073714,0.2899
256.949,1.156709912,0.28446
257.842,1.55395073,0.24802
258.811,1.871219706,0.23714
